triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
NHKG_16_01_R_196_GO8_GB179_ANN1283,NHKG_16_01_R_196,0.0,4.872196383056418,0.9668798162776667,0.03312018372233322,0.0011161701155790681,0.0013628204900390625,-5709.092291906155,-5726.31728450415,512
NHKG_16_01_R_196_GO8_GB179_ANN1283,GO8_GB179,0.0,4.858224922373664,0.9661448766351595,0.033855123364840464,0.0012517242608497481,0.0015319812314225055,-5140.88641719935,-5157.129380065886,471
NHKG_16_01_R_196_GO8_GB179_ANN1283,ANN1283,0.0,2.3992274731852117,0.6952280887781421,0.3047719112218579,0.0018682305242400756,0.00302674072394865,-21531.87511812308,-21679.892244632232,2259
NHKG_16_01_R_196_GO8_GB179_PET0662,NHKG_16_01_R_196,0.0,5.110540372941559,0.967376003286348,0.03262399671365218,0.0013812684148578438,0.0016802469596368715,-7695.244648097212,-7710.208678944953,716
NHKG_16_01_R_196_GO8_GB179_PET0662,GO8_GB179,0.0,4.107608314438968,0.9470600217839715,0.05293997821602855,0.0012276045606088237,0.0015844688755480608,-6424.303844303288,-6454.356947812763,593
NHKG_16_01_R_196_GO8_GB179_PET0662,PET0662,0.0,2.441611295245941,0.744980809541485,0.25501919045851495,0.0015850106884479258,0.0024480675860320744,-19230.146006100415,-19370.589250671193,1933
NHKG_16_01_R_196_GO8_GB179_DEB_1135,NHKG_16_01_R_196,0.0,3.660301654259647,0.9132055073172419,0.08679449268275821,0.0011035410142492775,0.0015238018081705153,-6131.7750193683505,-6171.5185042192625,563
NHKG_16_01_R_196_GO8_GB179_DEB_1135,GO8_GB179,0.0,5.206349557615975,0.9622978584120434,0.03770214158795653,0.0012680535424945748,0.0015719612677083336,-5219.862773438956,-5231.0401890715075,480
NHKG_16_01_R_196_GO8_GB179_DEB_1135,DEB_1135,0.0,2.5750884030755024,0.7312776021427162,0.2687223978572839,0.0017595201759242874,0.002815096693497044,-21269.16945307424,-21422.696866526047,2199
NHKG_16_01_R_196_GO8_GB179_PET0424,NHKG_16_01_R_196,0.0,3.3958762446646946,0.9092702279612169,0.09072977203878298,0.0012585761942046293,0.001742130312356322,-7390.454065699818,-7444.338713607233,696
NHKG_16_01_R_196_GO8_GB179_PET0424,GO8_GB179,0.0,3.7055762375113486,0.9396279952665008,0.06037200473349917,0.00129711140506127,0.0017056176206463197,-5943.036349901415,-5980.121818952884,557
NHKG_16_01_R_196_GO8_GB179_PET0424,PET0424,0.0,2.2377233244911783,0.6570685520025685,0.34293144799743147,0.001527981570633836,0.0024752769168929108,-19785.02447672814,-19887.985761069485,1989
NHKG_16_01_R_196_GO8_GB179_PET0495,NHKG_16_01_R_196,0.0,3.4603240669894038,0.9130630691245608,0.08693693087543923,0.0012164149711163133,0.0016735266640465795,-7352.264882040117,-7403.205237067642,687
NHKG_16_01_R_196_GO8_GB179_PET0495,GO8_GB179,0.0,3.831789427363343,0.9395075107827764,0.06049248921722365,0.0012406866530949394,0.0016274423893728222,-6181.612189667873,-6216.663299592544,574
NHKG_16_01_R_196_GO8_GB179_PET0495,PET0495,0.0,2.1785057584182503,0.6501064831925093,0.34989351680749076,0.0015696309210046628,0.0025293977594649164,-19625.538726368064,-19722.273406532728,1981
NHKG_16_01_R_196_GO8_GB179_PAR_posas_01,NHKG_16_01_R_196,0.0,3.6671071088139158,0.9047676878266774,0.09523231217332265,0.0010248304422216714,0.0014456894640794225,-6089.304317673039,-6131.082013565369,554
NHKG_16_01_R_196_GO8_GB179_PAR_posas_01,GO8_GB179,0.0,4.554522789534545,0.97423272509977,0.025767274900230078,0.0013008614236411566,0.001553191755882353,-5178.711535005144,-5198.840573232587,476
NHKG_16_01_R_196_GO8_GB179_PAR_posas_01,PAR_posas_01,0.0,2.352628344997802,0.67372048565454,0.32627951434545993,0.001866235272279737,0.0030544410007233274,-21057.32422153009,-21188.384354981892,2212
NHKG_16_01_R_196_GO8_GB179_ARG0295,NHKG_16_01_R_196,0.0,4.322323513406991,0.9501031089225703,0.0498968910774297,0.0010455695845028856,0.0013375807873015873,-5632.207027249069,-5655.605244463715,504
NHKG_16_01_R_196_GO8_GB179_ARG0295,GO8_GB179,0.0,5.111611513678066,0.978302602397772,0.021697397602228035,0.0011896753076260866,0.0013862106967741936,-5169.968918330587,-5184.3566384552505,465
NHKG_16_01_R_196_GO8_GB179_ARG0295,ARG0295,0.0,2.328127423754792,0.6529275202014888,0.34707247979851114,0.0018245401676293264,0.0030256637820501543,-21694.128898205112,-21815.911391730093,2273
NHKG_16_01_R_196_ANN1283_PET0662,NHKG_16_01_R_196,0.0,3.8021335243228607,0.9538205257017763,0.046179474298223756,0.0011834186966911792,0.001506205785139665,-9787.725768751961,-9834.912288884036,895
NHKG_16_01_R_196_ANN1283_PET0662,ANN1283,0.0,3.071536059645562,0.8786644351571169,0.12133556484288312,0.0014863703083228092,0.002119301214795918,-16042.396487879243,-16163.95598968641,1568
NHKG_16_01_R_196_ANN1283_PET0662,PET0662,0.0,5.360416895869077,0.9698489998647871,0.030151000135212925,0.0010659245560551926,0.0012833694094993582,-8798.4705472412,-8808.920897515287,779
