P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
H_agrestis	H_silphioides	H_annuus	0.14508	1.3881	0.0825532	0.0520029	145.734	95.1892	71.0685
H_agrestis	H_verticillatus	H_annuus	0.262572	3.19964	0.000687992	0.109465	111.433	119.287	69.6714
H_agrestis	H_arizonensis	H_argophyllus	0.0724413	0.662871	0.253707	0.0198369	105.2	77.5726	67.0929
H_atrorubens	H_agrestis	H_argophyllus	0.0723976	0.661358	0.254191	0.0173407	132.338	74.6274	64.5512
H_agrestis	H_carnosus	H_argophyllus	0.0234574	0.185053	0.426594	0.00584371	104.235	63.5238	60.6119
H_agrestis	H_cusickii	H_argophyllus	0.182885	1.98939	0.0233293	0.0494077	111.178	105.403	72.8102
H_argophyllus	H_debilis	H_agrestis	0.177973	1.69321	0.0452081	0.0306241	168.036	82.5336	57.5946
H_agrestis	H_divaricatus	H_argophyllus	0.22243	2.1309	0.0165488	0.0597342	120.751	91.469	58.1821
H_argophyllus	H_exilis	H_agrestis	0.227196	1.83206	0.0334709	0.0368639	187.285	68.0619	42.8607
H_agrestis	H_floridanus	H_argophyllus	0.100901	0.916226	0.179774	0.024323	157.367	83.9194	68.5365
H_giganteus	H_agrestis	H_argophyllus	0.0139833	0.138082	0.445088	0.00363647	116.384	82.3407	80.0696
H_agrestis	H_gracilentus	H_argophyllus	0.121993	1.09294	0.13721	0.0326546	93.3921	88.3369	69.1274
H_agrestis	H_grosseserratus	H_argophyllus	0.178403	1.73651	0.0412365	0.0474088	102.494	94.2	65.6774
H_heterophyllus	H_agrestis	H_argophyllus	0.0257624	0.245231	0.403139	0.00639706	148.623	81.7507	77.6443
H_agrestis	H_laciniatus	H_argophyllus	0.18248	1.60488	0.0542605	0.0531434	90.4012	89.7488	62.0488
H_agrestis	H_longifolius	H_argophyllus	0.0205653	0.184501	0.42681	0.0055585	125.571	74.4679	71.4667
H_agrestis	H_maximiliani	H_argophyllus	0.260542	2.54203	0.00551055	0.0793076	103.437	124.862	73.2466
H_agrestis	H_microcephalus	H_argophyllus	0.177559	1.86796	0.0308835	0.0485393	110.025	103.298	72.1462
H_agrestis	H_mollis	H_argophyllus	0.214629	2.21157	0.0134982	0.0546443	121.069	94.0202	60.7929
H_niveus	H_argophyllus	H_agrestis	0.0318626	0.287431	0.386891	0.0054132	140.794	72.4738	67.998
H_agrestis	H_nuttalli	H_argophyllus	0.11225	0.648393	0.258366	0.0416525	25.45	31.7786	25.3643
H_occidentalis	H_agrestis	H_argophyllus	0.059834	0.564879	0.286078	0.0152326	106.626	78.5167	69.6512
H_argophyllus	H_petiolaris	H_agrestis	0.115687	1.19551	0.115945	0.0210834	193.094	82.7282	65.5718
H_agrestis	H_argophyllus	H_porteri	0.0252351	0.245862	0.402894	0.0076929	111.893	77.7482	73.9208
H_argophyllus	H_praecox	H_agrestis	0.125913	1.22483	0.110319	0.0227776	197.117	86.3207	67.0139
H_radula	H_agrestis	H_argophyllus	0.0886101	0.792986	0.213893	0.02239	117.551	84.3353	70.606
H_agrestis	H_salicifolius	H_argophyllus	0.186826	1.69656	0.0448895	0.0507561	90.7964	86.2512	59.0964
H_agrestis	H_silphioides	H_argophyllus	0.00924426	0.0886581	0.464677	0.00229372	130.337	71.9387	70.6208
H_agrestis	H_verticillatus	H_argophyllus	0.190001	1.85557	0.0317576	0.0519545	98.2655	90.2536	61.4329
H_arizonensis	H_atrorubens	H_agrestis	0.147537	1.73561	0.0413162	0.0355758	91.9679	102.3	75.9948
H_arizonensis	H_carnosus	H_agrestis	0.123202	1.20038	0.114996	0.0280821	62.131	83.8631	65.4655
H_cusickii	H_arizonensis	H_agrestis	0.00155679	0.0154821	0.493824	0.00027871	117.693	72.2488	72.0242
H_agrestis	H_arizonensis	H_debilis	0.143393	1.50494	0.0661693	0.0473805	95.8498	99.7808	74.7538
H_arizonensis	H_divaricatus	H_agrestis	0.189022	1.85943	0.0314832	0.0404956	124.208	86.2905	58.8548
H_agrestis	H_arizonensis	H_exilis	0.268872	2.51723	0.0059141	0.0685404	80.3119	103.113	59.4143
H_arizonensis	H_floridanus	H_agrestis	0.321969	3.56322	0.000183166	0.0734249	102.351	115.85	59.4187
H_arizonensis	H_giganteus	H_agrestis	0.0135255	0.132165	0.447427	0.00303505	122.356	83.5429	81.3131
H_gracilentus	H_arizonensis	H_agrestis	0.113356	1.07779	0.140565	0.0229712	93.6706	79.9286	63.6528
H_grosseserratus	H_arizonensis	H_agrestis	0.00998665	0.0967469	0.461464	0.00195676	125.806	71.5762	70.1607
H_arizonensis	H_heterophyllus	H_agrestis	0.136	1.55656	0.0597871	0.0355588	77.4095	112.881	85.8528
