P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
H_agrestis	H_angustifolius	H_petiolaris	0.0596906	0.560516	0.287564	0.0239634	138.836	98.9909	87.8389
H_agrestis	H_angustifolius	H_porteri	0.0079283	0.0581564	0.476812	0.00193978	155.868	57.6123	56.706
H_agrestis	H_angustifolius	H_praecox	0.011075	0.111204	0.455727	0.00485262	144.605	91.2576	89.2584
H_agrestis	H_radula	H_angustifolius	0.0521117	0.596483	0.275426	0.024655	53.35	102.158	92.0377
H_agrestis	H_salicifolius	H_angustifolius	0.0208221	0.186626	0.425977	0.0109433	64.9996	106.612	102.263
H_silphioides	H_angustifolius	H_agrestis	0.0505125	0.457524	0.323647	0.0105938	116.906	72.827	65.8234
H_agrestis	H_verticillatus	H_angustifolius	0.0535252	0.504405	0.306988	0.028107	64.4365	104.377	93.7714
H_argophyllus	H_annuus	H_agrestis	0.0030462	0.0262252	0.489539	0.000370976	306.981	49.5877	49.2865
H_annuus	H_agrestis	H_arizonensis	0.0262001	0.316427	0.375839	0.01092	67.9619	110.439	104.8
H_atrorubens	H_agrestis	H_annuus	0.00900793	0.0953881	0.462003	0.00300337	137.76	76.7647	75.394
H_agrestis	H_carnosus	H_annuus	0.0887989	0.800282	0.211774	0.0305915	108.622	74.9016	62.6841
H_agrestis	H_annuus	H_cusickii	0.0485231	0.523372	0.300358	0.0268802	72.6955	136.77	124.111
H_annuus	H_debilis	H_agrestis	0.234598	2.41088	0.00795695	0.0398092	195.051	91.4498	56.6953
H_annuus	H_agrestis	H_divaricatus	0.0814907	0.994613	0.159962	0.041183	69.4171	129.504	109.987
H_annuus	H_exilis	H_agrestis	0.211296	1.92902	0.0268643	0.031221	221.935	64.329	41.8861
H_agrestis	H_floridanus	H_annuus	0.125195	1.28316	0.099718	0.0424204	167.483	96.9885	75.4056
H_agrestis	H_annuus	H_giganteus	0.00463331	0.053851	0.478527	0.00278011	86.0821	121.106	119.988
H_agrestis	H_annuus	H_gracilentus	0.0382239	0.396733	0.345782	0.018063	79.5996	111.745	103.517
